TLS,AJA
TLS,BES
TLS,BIA
ATH,JMK
ATH,JTR
BGY,LMP
BIA,BOD
BIA,SXB
BIO,AGP
BIO,PMO
BOD,FAO
BOD,TLN
BRI,ATH
BRI,HER
BRI,JTR
BRI,VRN
CAG,GOA
CAG,TLS
CFU,TRN
CTA,NAP
CFR,FSC
CFU,MRS
CTA,PSR
HER,BRI
FSC,NTE
GOA,ATH
IBZ,SDR
JMK,ATH
JMK,GOA
JTR,PMO
JTR,NAP
MAD,GOA
MRS,BIQ
MRS,DBV
MRS,NAP
MRS,SXB
NAP,BOD
NAP,GOA
NAP,CAG
NAP,JSI
NAP,JTR
NAP,OLB
NTE,CFU
NTE,FAO
NTE,NAP
NTE,VCE
OLB,GOA
OLB,SXB
OLB,VRN
OVD,ALC
PMI,GOA
PMI,TRN
PMI,ZAZ
PMO,HER
PMO,BRI
PMO,NCE
PMO,VCE
PMO,TRN
PNL,VCE
PRG,NTE
RNS,NCE
SDR,MAH
SPU,BOD
SPU,TLS
SUF,VRN
TLS,ALC
TLS,CFR
TLS,PRG
TRN,JSI
TRN,PMI
VCE,ATH
OVD,MUC
VCE,MRS
VCE,JSI
VCE,BRI
VCE,LMP
VCE,PMI
VCE,SDR
VCE,PVK
VLC,NTE
VRN,BRI
VRN,MAH
VRN,ORK
VRN,JMK
VRN,SUF
VRN,PMO
ZTH,BRI
AGP,BOD
AGP,OVD
AJA,BES
AJA,MPL
AJA,TLS
ALC,BOD
ALC,OVD
ALC,LYS
ALC,VCE
ALC,TLS
AOI,PMO
BES,AJA
ZAZ,VCE
AOI,CTA
BGY,SPU
BIO,MLA
BOD,DBV
BOD,FSC
BOD,PMI
BOD,CFU
BOD,MLA
BRI,DBV
BRI,KGS
BRI,OLB
CTA,VCE
CAG,TRN
CAG,NTE
CTA,BRI
GOA,MAD
HER,VRN
JMK,NTE
JTR,BOD
JTR,VRN
JMK,MRS
LUX,NCE
MPL,NTE
NCE,SXB
NCE,SPU
NTE,CAG
NTE,PMO
OLB,NTE
OLB,BOD
SDR,VCE
SPU,PMO
TLS,AGP
TRN,PMO
VRN,FAO
ATH,BRI
ATH,HER
BIO,IBZ
BOD,AJA
BOD,PRG
BRI,JMK
CAG,NAP
KGS,BRI
NAP,PVK
PMI,NTE
PSA,TLS
VRN,AHO
AHO,VCE
CFU,BRI
CTA,AOI
CTA,GOA
HER,TLS
JTR,ATH
NTE,MAH
PMI,LYS
PMO,VRN
SXB,AJA
TRN,PNL
VCE,CTA
BVA,AJA
CTA,VRN
NAP,TRS
PMO,TLS
SXB,BIA
TFS,BOD
TLS,SPU
JSI,BRI
MUC,MPL
NAP,NTE
SXB,FSC
TFS,TLS
VCE,BIO
VCE,HER
OLB,VCE
PMI,VRN
FSC,BOD
GOA,NAP
GOA,SUF
IBZ,PMO
JTR,GOA
PMO,NAP
VCE,JTR
VCE,KGS
PMO,AOI
BOD,PMO
BRI,ZTH
CFU,BOD
GOA,CAG
HER,MRS
NTE,PMI
OVD,MAH
PMO,GOA
VLC,OVD
AJA,SXB
BIA,NTE
BOD,JTR
CFR,TLS
CTA,TLS
IBZ,BOD
MUC,BOD
NCE,MLA
OVD,VLC
PMI,OVD
TLS,PMO
VCE,PMO
VRN,PMI
ATH,PMO
IBZ,BRI
MAH,ZAZ
PMI,MRS
PMO,AGP
SMI,VCE
TIA,VRN
VCE,JMK
AGP,BIO
VRN,LMP
AGP,TLS
CAG,VRN
MPL,SXB
NTE,LPA
NTE,ACE
OLB,NAP
MRS,MAH
OVD,TFS
ALC,MRS
BOD,AGP
BRI,CFU
CFR,MRS
DBV,MRS
NAP,CTA
JTR,NTE
JTR,TLS
NTE,OLB
PMI,BRI
PMO,RHO
VCE,AHO
AJA,BOD
VCE,SMI
ATH,VCE
BIO,VCE
JMK,VCE
LIL,MPL
LMP,VCE
LMP,TRN
MRS,FAO
NAP,MRS
SXB,PMO
BOD,MAH
BRI,PVK
CFU,NTE
GOA,LMP
HER,NAP
NAP,HER
NTE,AGP
NTE,ALC
NTE,MPL
PSA,BOD
VIE,NTE
ZAZ,MUC
FSC,SXB
IBZ,BIO
SXB,MRS
VCE,BDS
TRN,LMP
AHO,GOA
ATH,VRN
BES,TLS
BGY,DBV
BIO,SVQ
DBV,SXB
MRS,JMK
PMO,ATH
SXB,MPL
FSC,TLS
VCE,AOK
BDS,VCE
DBV,BOD
LIL,BIA
AJA,BVA
MPL,BIA
MUC,OVD
NAP,JMK
NTE,PRG
PMI,BIO
VCE,OVD
ZTH,NAP
ALC,NTE
VRN,PNL
BIQ,SXB
GOA,IBZ
LPA,NTE
MRS,SPU
PMI,BOD
PMO,JTR
PMO,OLB
SXB,NCE
TFS,OVD
TRN,OLB
VCE,NTE
VRN,JTR
AGP,PMO
GOA,PMO
JSI,NAP
LYS,PMI
MAH,GOA
NAP,PMO
SXB,BOD
VCE,ZAZ
AJA,NTE
NCE,RNS
VRN,HER
BDS,GOA
OVD,AGP
BIA,CFR
FAO,NTE
GOA,OLB
MAH,SDR
PNL,BGY
SDR,SVQ
AGP,NTE
NTE,JTR
AOK,VCE
BIO,PMI
CFU,VCE
JMK,MUC
OVD,PMI
AJA,CFR
GOA,JMK
PMI,VCE
PMO,BOD
NTE,BIA
SXB,DBV
ZTH,PMO
BOD,ALC
JTR,VCE
BRI,PMI
MAH,NTE
NTE,VIE
SUF,GOA
VCE,BOD
AOI,CAG
BOD,CAG
BOD,MUC
VRN,ATH
BOD,PSA
BRI,PMO
BOD,VCE
JMK,NAP
MRS,VIE
NAP,ZTH
BRI,VCE
NTE,VLC
PRG,TLS
PSA,PMI
CAG,AOI
NTE,FSC
NTE,FUE
OVD,IBZ
SVQ,BIO
TLS,JTR
BRI,JSI
EFL,VCE
NTE,PSA
ORK,VRN
PMO,LYS
TLS,FSC
BRI,IBZ
CFU,PMO
NTE,AJA
PMO,SPU
SXB,BIQ
VCE,CFU
PMI,PSA
SXB,TLS
ZTH,VCE
BRI,CTA
BOD,TFS
CAG,LYS
SXB,OLB
TLS,CFU
BIA,LIL
BOD,BIA
IBZ,OVD
MRS,CFU
NTE,PGF
TLS,VCE
MLA,BIO
PNL,VRN
VRN,IBZ
ACE,NTE
GOA,AHO
OLB,PMO
BOD,SPU
VCE,OLB
VCE,ZTH
BIQ,MRS
GOA,MAH
MRS,PMI
FSC,LIL
TLN,BOD
TRN,CAG
CFR,AJA
VRN,TIA
ZAZ,MAH
VCE,CAG
BOD,SXB
OLB,TRN
VIE,MRS
AHO,NAP
BIA,BES
MRS,CFR
MRS,JTR
VCE,AGP
BOD,NAP
IBZ,ZAZ
JSI,VCE
PMO,SXB
TLS,PMI
BES,MPL
BOD,IBZ
CAG,VCE
SVQ,OVD
PMO,IBZ
ATH,GOA
MPL,MUC
VRN,CTA
BES,FSC
JTR,MRS
BGY,OLB
VCE,PNL
HER,VCE
OLB,BRI
PVK,BRI
FAO,BOD
PMI,TLS
SPU,NTE
TRS,NAP
LMP,BGY
OLB,BGY
LIL,AJA
LMP,GOA
JMK,BRI
PGF,NTE
ZAZ,PMI
BOD,OLB
LIL,FSC
MRS,VCE
VCE,TLS
CAG,BOD
LMP,VRN
BES,BIA
PMO,NTE
SPU,MRS
SPU,NCE
AHO,VRN
GOA,CTA
TLS,SXB
FSC,CFR
PSR,CTA
BIA,MPL
RHO,BRI
TLS,CAG
TLS,PSA
SDR,IBZ
GOA,PMI
NCE,PMO
SPU,BGY
RNS,MRS
TRN,CFU
MRS,RNS
NTE,JMK
PMO,BIO
OVD,VCE
PRG,BOD
GOA,BDS
HER,ATH
MAH,OVD
VCE,SPU
MUC,JMK
MUC,ZAZ
VCE,ALC
FSC,BES
JSI,TRN
MPL,BES
NAP,AHO
TLS,TFS
JTR,BRI
RHO,NAP
BGY,PNL
MPL,LIL
NTE,SPU
AGP,VCE
SVQ,SDR
JMK,VRN
VCE,EFL
NAP,EFL
