ADB,OSL
GZT,FRA
ASR,CGN
BSL,AYT
SZF,AYT
ADB,FRA
AYT,FMO
ASR,AMS
ADB,GZT
ADB,ZRH
BJV,DUS
AYT,TZX
CGN,GZT
DLM,HAM
DUS,GZT
LTN,GZT
AYT,BLL
CDG,AYT
MUC,AYT
SAW,AYT
ADA,ADB
FRA,DLM
ADA,MUC
BJV,HAJ
MUC,ADB
DLM,DUS
DRS,AYT
ADB,BSL
OSL,ADB
AYT,ASR
BJV,MUC
AYT,BRU
LTN,BJV
ADA,HAJ
DUS,BJV
CDG,ADB
PAD,AYT
STR,ASR
AYT,AMS
STR,ESB
ASR,FMO
AYT,VAN
FMO,ADA
SZF,ADB
AYT,CGN
BSL,ADB
ADB,MLX
BJV,STR
LTN,ESB
FMO,ADB
AYT,SAW
AMS,AMS
DUS,ESB
CGN,ASR
VAN,ADB
ADB,CGN
ESB,DUS
HEL,ADB
MUC,DLM
ADB,VAN
ASR,FRA
GZT,CGN
GZT,LTN
AYT,BSL
OTP,AYT
ADB,LTN
AMS,ASR
ESB,HAJ
AYT,OTP
STR,BJV
ADB,ASR
ADB,BRU
BRU,ADB
KYA,ADB
STR,GZT
ESB,VIE
BRU,AYT
AAL,AYT
KYA,CPH
BLL,AYT
DLM,STR
ZRH,GZT
VAN,AYT
AYT,FRA
ADA,STR
HAJ,GZT
FRA,ADB
FMO,AYT
AYT,PAD
ADB,FMO
CGN,TZX
AYT,ZRH
AYT,GZT
AYT,CPH
LYS,ADB
ADB,HEL
AYT,SZF
FRA,GZT
HAJ,ADB
AYT,AAL
AYT,ERZ
AYT,VIE
ADB,DTM
ADB,ADA
BJV,LTN
AYT,ADB
CPH,KYA
ASR,AYT
AYT,MUC
DUS,DLM
CPH,AYT
ADB,KSY
ERZ,AYT
ADB,STR
HAM,ADB
ADA,IKA
STR,ADB
DTM,ADB
BUD,AYT
GZT,STR
AYT,HAM
ADA,FMO
AYT,ZIA
DIY,AYT
STR,SZF
TXL,ADB
ADB,NUE
TXL,AYT
OGU,ADB
DIY,ADB
AYT,DUS
ADB,ARN
ERZ,ADB
ADA,CGN
STR,AYT
KSY,ADB
ADB,TXL
AYT,LYS
LEJ,AYT
ADB,BRE
HAJ,AYT
AYT,HAJ
LYS,AYT
ARN,AYT
ZRH,AYT
FRA,BJV
AYT,TXL
GZT,AYT
TZX,ADB
ADB,LYS
AMS,AYT
ESB,LTN
AMS,KYA
ADB,AYT
GZT,HAJ
VIE,ADB
SXB,ADB
ESB,BRU
ADB,SXB
AYT,CDG
ADB,HAJ
NUE,AYT
FRA,ESB
AYT,NUE
FRA,ASR
FRA,ADA
BJV,FRA
VIE,ESB
HAJ,ADA
MUC,ADA
CGN,DLM
LTN,AYT
ADB,DIY
GZT,DUS
ESB,STR
CGN,AYT
ASR,STR
ADB,DUS
KYA,AMS
TZX,AYT
AYT,ARN
DUS,AYT
AYT,LEJ
HAM,AYT
ADB,MUC
ZIA,AYT
ADA,FRA
ADB,AMS
FMO,ASR
ASR,ADB
DUS,ADB
ZRH,ADB
AYT,STR
CGN,ADB
CPH,ADB
TZX,CGN
ADB,OGU
FRA,AYT
ADB,CDG
NUE,ADB
ESB,ZRH
MUC,BJV
ARN,ADB
ADB,HAM
AYT,LTN
STR,ADA
MLX,ADB
ADB,KYA
AYT,DIY
ADB,ERZ
ADB,TZX
LTN,ADB
ADB,VIE
AYT,ADA
AYT,SCN
VIE,AYT
SZF,STR
BRE,ADB
ADB,CPH
ADB,SZF
HAJ,BJV
AYT,BUD
DLM,MUC
DUS,ADA
ADA,DUS
AMS,ADB
SCN,AYT
HAJ,ESB
ESB,FRA
GZT,ADB
HAM,DLM
GZT,ZRH
ZRH,ESB
ADA,AYT
STR,DLM
AYT,DRS
IKA,ADA
CGN,ADA
BRU,ESB
