depAirport,arrAirport
ABZ,BHD
ABZ,BHX
ABZ,CWL
ABZ,MME
ABZ,HUY
ABZ,KOI
ABZ,LBA
ABZ,LCY
ABZ,LHR
ABZ,MAN
ABZ,NCL
ABZ,NWI
ABZ,CDG
ABZ,SOU
ABZ,SYY
ABZ,WIC
AMS,BHX
AMS,DSA
AMS,EMA
AMS,EXT
AMS,LCY
AMS,MAN
AMS,SOU
VLY,CWL
BHD,ABZ
BHD,BHX
BHD,CWL
BHD,EMA
BHD,EDI
BHD,EXT
BHD,GLA
BHD,INV
BHD,IOM
BHD,LBA
BHD,LCY
BHD,MAN
BHD,NCL
BHD,SOU
TXL,BHX
TXL,CWL
BHX,ABZ
BHX,AMS
BHX,BHD
BHX,TXL
BHX,DUS
BHX,EDI
BHX,GLA
BHX,GCI
BHX,HAJ
BHX,INV
BHX,IOM
BHX,JER
BHX,LYS
BHX,MXP
BHX,CDG
BHX,STR
CWL,ABZ
CWL,VLY
CWL,BHD
CWL,TXL
CWL,ORK
CWL,DUB
CWL,EDI
CWL,GLA
CWL,NCL
CWL,CDG
ORK,CWL
DSA,AMS
DSA,CDG
DUB,CWL
DUB,EXT
DUB,SEN
DUB,SOU
MME,ABZ
DUS,BHX
DUS,LBA
DUS,LCY
DUS,MAN
DUS,SOU
EMA,AMS
EMA,BHD
EMA,EDI
EMA,GLA
EMA,JER
EDI,BHD
EDI,BHX
EDI,CWL
EDI,EMA
EDI,EXT
EDI,LCY
EDI,LHR
EDI,MAN
EDI,CDG
EDI,SOU
EXT,AMS
EXT,BHD
EXT,DUB
EXT,EDI
EXT,GLA
EXT,GCI
EXT,JER
EXT,LCY
EXT,AGP
EXT,MAN
EXT,NCL
EXT,NWI
EXT,CDG
GLA,BHD
GLA,BHX
GLA,CWL
GLA,EMA
GLA,EXT
GLA,SEN
GLA,MAN
GLA,SOU
GLA,SYY
GRQ,SEN
GCI,BHX
GCI,EXT
GCI,SOU
HAJ,BHX
HAJ,MAN
HUY,ABZ
INV,BHD
INV,BHX
IOM,BHD
IOM,BHX
IOM,LPL
IOM,MAN
IOM,NCL
JER,BHX
JER,BRS
JER,EMA
JER,EXT
JER,LCY
JER,SOU
KOI,ABZ
LBA,ABZ
LBA,BHD
LBA,DUS
LBA,SOU
LPL,IOM
LCY,ABZ
LCY,AMS
LCY,BHD
LCY,DUS
LCY,EDI
LCY,EXT
LCY,JER
LGW,NQY
LHR,ABZ
LHR,EDI
SEN,DUB
SEN,GLA
SEN,GRQ
SEN,MAN
SEN,PRG
SEN,RNS
SEN,VIE
LUX,MAN
LYS,BHX
LYS,MAN
AGP,EXT
MAN,ABZ
MAN,AMS
MAN,BHD
MAN,DUS
MAN,EDI
MAN,EXT
MAN,GLA
MAN,HAJ
MAN,IOM
MAN,SEN
MAN,LUX
MAN,LYS
MAN,MXP
MAN,NQY
MAN,CDG
MAN,SOU
MAN,TLS
MXP,BHX
MXP,MAN
NCL,ABZ
NCL,BHD
NCL,CWL
NCL,EXT
NCL,IOM
NCL,SOU
NQY,LGW
NQY,MAN
NWI,ABZ
NWI,EXT
CDG,BHX
CDG,CWL
CDG,DSA
CDG,EDI
CDG,EXT
CDG,MAN
CDG,SOU
ORY,RDZ
PRG,SEN
RNS,SEN
RDZ,ORY
SOU,ABZ
SOU,AMS
SOU,BHD
SOU,DUB
SOU,DUS
SOU,EDI
SOU,GLA
SOU,GCI
SOU,JER
SOU,LBA
SOU,MAN
SOU,NCL
SOU,CDG
SYY,ABZ
SYY,GLA
STR,BHX
TLS,MAN
VIE,SEN
WIC,ABZ
ALC,EXT
BHD,LPL
EGC,SOU
BHX,HAM
BHX,NOC
BHX,TLS
BRS,JER
CWL,JER
CWL,MXP
CWL,MUC
CGN,SEN
DSA,DUB
DUB,DSA
EDI,NOC
EXT,ALC
GLA,IOM
HAM,BHX
IOM,GLA
JER,CWL
JER,MAN
NOC,BHX
NOC,EDI
NOC,MAN
LBA,NQY
LPL,BHD
SEN,CGN
MAN,JER
MAN,NOC
MXP,CWL
MUC,CWL
NTE,SOU
NQY,LBA
CDG,ABZ
SOU,EGC
SOU,NTE
TLS,BHX
ALC,SOU
BHX,CMF
BHX,GVA
BUD,SEN
CWL,CMF
CWL,GVA
CWL,FCO
CMF,BHX
CMF,CWL
CMF,EXT
CMF,SOU
EXT,CMF
EXT,GVA
GVA,BHX
GVA,CWL
GVA,EXT
GVA,IOM
GVA,JER
GVA,SOU
IOM,GVA
JER,GVA
SEN,BUD
FCO,CWL
SOU,ALC
SOU,CMF
SOU,GVA
CMF,MAN
INN,MAN
MAN,CMF
MAN,INN
CWL,FAO
FAO,CWL
AGP,NWI
NWI,AGP
ALC,NWI
NWI,ALC
ALC,DSA
JER,DSA
DSA,JER
SEN,LYS
LYS,SEN
DSA,ALC
SOU,LYS
LYS,SOU
