,addtime,bId,cabin,depTime,dt_diff_h,flightNumber,invalid,last_cabin,last_price,last_seats,p_d_percent,preTime,price,price_diff,seats
3,1550133622,416000015,W,1550618700,134.74388888888888,WN4502,2,W,164.0,9.0,56.707317073170735,485078,257.0,93.0,9
3,1550133622,416000016,W,1550635800,139.49388888888888,WN2261,2,W,164.0,9.0,56.707317073170735,502178,257.0,93.0,9
3,1550010815,416000017,W,1550652900,178.35694444444442,WN1304,2,W,164.0,3.0,12.195121951219512,642085,184.0,20.0,9
7,1550084912,416000017,W,1550652900,157.77444444444444,WN1304,2,W,184.0,3.0,16.304347826086957,567988,214.0,30.0,9
10,1550133622,416000017,W,1550652900,144.24388888888888,WN1304,2,W,214.0,3.0,20.093457943925234,519278,257.0,43.0,9
3,1550133595,416000018,W,1550634600,139.16805555555555,WN1958,2,W,263.0,9.0,57.41444866920152,501005,414.0,151.0,9
3,1550133600,416000019,W,1550613300,133.25,WN827,2,W,184.0,9.0,104.34782608695652,479700,376.0,192.0,9
3,1550133594,416000020,W,1550616000,134.00166666666667,WN2322,2,W,329.0,9.0,32.82674772036474,482406,437.0,108.0,9
3,1550133594,416000021,W,1550634300,139.085,WN279,2,W,329.0,9.0,32.82674772036474,500706,437.0,108.0,9
3,1550133597,416000022,W,1550616900,134.25083333333333,WN28,2,W,196.0,9.0,36.734693877551024,483303,268.0,72.0,9
3,1550133594,416000023,W,1550646900,142.585,WN2284,2,W,329.0,9.0,32.82674772036474,513306,437.0,108.0,9
3,1550133595,416000024,W,1550615400,133.8347222222222,WN2130,2,W,205.0,9.0,62.926829268292686,481805,334.0,129.0,9
3,1550133595,416000025,W,1550623800,136.16805555555555,WN1912,2,W,207.0,9.0,61.35265700483092,490205,334.0,127.0,9
3,1550133622,416000026,W,1550615400,133.82722222222222,WN653,2,W,181.0,9.0,104.97237569060773,481778,371.0,190.0,9
3,1550133595,416000027,W,1550644800,142.0013888888889,WN345,2,W,207.0,9.0,61.35265700483092,511205,334.0,127.0,9
3,1550133595,416000028,W,1550664000,147.33472222222224,WN1870,2,W,205.0,9.0,62.926829268292686,530405,334.0,129.0,9
2,1550002420,416000029,W,1550658000,182.10555555555555,WN637,2,W,211.0,3.0,37.91469194312796,655580,291.0,80.0,4
4,1550036246,416000029,W,1550658000,172.70944444444447,WN637,2,W,291.0,3.0,27.491408934707902,621754,371.0,80.0,9
3,1550133623,416000030,W,1550616300,134.07694444444445,WN172,2,W,217.0,9.0,88.47926267281106,482677,409.0,192.0,9
3,1550133623,416000031,W,1550645100,142.07694444444445,WN1041,2,W,217.0,9.0,88.47926267281106,511477,409.0,192.0,9
3,1550133623,416000032,W,1550628000,137.32694444444445,WN580,2,W,433.0,9.0,37.41339491916859,494377,595.0,162.0,9
4,1550336457,416000033,W,1550627100,80.73416666666667,WN265,2,W,489.0,9.0,-13.905930470347649,290643,421.0,-68.0,4
5,1550403067,416000033,W,1550627100,62.23138888888889,WN265,2,W,421.0,4.0,-11.876484560570072,224033,371.0,-50.0,9
9,1550541995,416000033,W,1550627100,23.64027777777778,WN265,2,W,371.0,3.0,13.477088948787062,85105,421.0,50.0,9
10,1550588864,416000033,W,1550627100,10.62111111111111,WN265,2,W,421.0,9.0,-21.852731591448933,38236,329.0,-92.0,3
3,1550133623,416000034,W,1550631000,138.1602777777778,WN411,2,W,363.0,9.0,20.66115702479339,497377,438.0,75.0,9
2,1549976705,416000035,W,1550655000,188.41527777777776,WN293,2,W,178.0,4.0,-10.674157303370787,678295,159.0,-19.0,4
4,1549988886,416000035,W,1550655000,185.03166666666667,WN293,2,W,159.0,3.0,11.949685534591195,666114,178.0,19.0,9
5,1550057744,416000035,W,1550655000,165.90444444444444,WN293,2,W,178.0,9.0,-10.674157303370787,597256,159.0,-19.0,5
8,1550133598,416000035,W,1550655000,144.83388888888888,WN293,2,W,159.0,5.0,53.459119496855344,521402,244.0,85.0,9
12,1550482240,416000035,W,1550655000,47.988888888888894,WN293,2,W,244.0,9.0,14.344262295081966,172760,279.0,35.0,9
3,1550133625,416000036,W,1550614800,133.65972222222223,WN908,2,W,199.0,9.0,70.85427135678393,481175,340.0,141.0,9
4,1550134474,416000036,W,1550614800,133.42388888888888,WN908,2,W,340.0,9.0,-41.470588235294116,480326,199.0,-141.0,9
5,1550135277,416000036,W,1550614800,133.20083333333335,WN908,2,W,199.0,9.0,70.85427135678393,479523,340.0,141.0,9
3,1550133625,416000037,W,1550629200,137.65972222222223,WN3991,2,W,230.0,9.0,47.82608695652174,495575,340.0,110.0,9
4,1550134474,416000037,W,1550629200,137.42388888888888,WN3991,2,W,340.0,9.0,-32.35294117647059,494726,230.0,-110.0,9
5,1550135275,416000037,W,1550629200,137.20138888888889,WN3991,2,W,230.0,9.0,47.82608695652174,493925,340.0,110.0,9
3,1550133595,416000038,W,1550611800,132.8347222222222,WN1316,2,W,347.0,9.0,11.815561959654179,478205,388.0,41.0,9
3,1550133595,416000039,W,1550662500,146.91805555555555,WN847,2,W,260.0,9.0,59.23076923076923,528905,414.0,154.0,9
3,1550133595,416000040,W,1550645400,142.16805555555555,WN55,2,W,347.0,9.0,11.815561959654179,511805,388.0,41.0,9
3,1550133654,416000041,W,1550625900,136.735,WN1446,2,W,89.0,9.0,121.34831460674157,492246,197.0,108.0,9
7,1550482765,416000041,W,1550625900,39.75972222222222,WN1446,2,W,197.0,9.0,15.228426395939087,143135,227.0,30.0,9
3,1550133654,416000042,W,1550668800,148.65166666666667,WN2138,2,W,89.0,9.0,121.34831460674157,535146,197.0,108.0,9
7,1550482765,416000042,W,1550668800,51.676388888888894,WN2138,2,W,197.0,9.0,15.228426395939087,186035,227.0,30.0,9
2,1550061248,416000043,W,1550617800,154.5977777777778,WN1431,2,W,214.0,9.0,-65.88785046728972,556552,73.0,-141.0,3
3,1550063183,416000043,W,1550617800,154.06027777777777,WN1431,2,W,73.0,3.0,193.15068493150685,554617,214.0,141.0,9
4,1550133597,416000043,W,1550617800,134.50083333333333,WN1431,2,W,214.0,9.0,0.4672897196261682,484203,215.0,1.0,9
8,1550482728,416000043,W,1550617800,37.519999999999996,WN1431,2,W,215.0,9.0,58.13953488372093,135072,340.0,125.0,9
1,1549968777,416000044,W,1550614200,179.28416666666666,WN802,2,W,80.0,9.0,36.25,645423,109.0,29.0,9
2,1550053100,416000044,W,1550614200,155.86111111111111,WN802,2,W,109.0,9.0,-55.04587155963303,561100,49.0,-60.0,9
4,1550097521,416000044,W,1550614200,143.52194444444447,WN802,2,W,49.0,3.0,67.34693877551021,516679,82.0,33.0,9
5,1550133596,416000044,W,1550614200,133.5011111111111,WN802,2,W,82.0,9.0,20.73170731707317,480604,99.0,17.0,9
6,1550141356,416000044,W,1550614200,131.34555555555556,WN802,2,W,99.0,9.0,12.121212121212121,472844,111.0,12.0,9
10,1550482846,416000044,W,1550614200,36.48722222222222,WN802,2,W,111.0,9.0,213.51351351351352,131354,348.0,237.0,9
3,1550133597,416000045,W,1550630700,138.08416666666665,WN27,2,W,214.0,9.0,58.87850467289719,497103,340.0,126.0,9
3,1550133597,416000046,W,1550637900,140.08416666666665,WN1838,2,W,214.0,9.0,58.87850467289719,504303,340.0,126.0,9
4,1550016819,416000047,W,1550655900,177.5225,WN106,2,W,254.0,3.0,33.85826771653543,639081,340.0,86.0,9
3,1550133596,416000048,W,1550616300,134.08444444444444,WN2235,2,W,273.0,9.0,25.274725274725274,482704,342.0,69.0,9
