depAirport,arrAirport
KIR,HHN
KIR,STN
KIR,LTN
POZ,STN
POZ,BRS
POZ,DUB
POZ,MLA
POZ,VDA
POZ,ATH
FEZ,BCN
FEZ,MRS
FEZ,BGY
CIY,HHN
CIY,CRL
CIY,PSA
CIY,MXP
BUD,STN
BUD,EDI
BUD,BCN
BUD,CRL
BUD,RAK
BUD,BGY
BUD,PSA
BUD,DUB
BUD,CIA
BUD,CPH
BUD,BVA
BUD,ATH
BUD,PRG
BUD,NUE
BUD,MAN
CCF,CRL
CCF,MAN
NYO,STN
NYO,GDN
NYO,KRK
NYO,TGD
NYO,BGY
NYO,AGP
NYO,FMM
NYO,WMI
HHN,KIR
HHN,CIY
HHN,TSR
HHN,STN
HHN,RAK
HHN,SCQ
HHN,CAG
HHN,LIS
HHN,PMI
HHN,TNG
HHN,PDV
HHN,NDR
TSR,HHN
TSR,STN
TSR,BGY
TSR,OTP
STN,KIR
STN,POZ
STN,BUD
STN,NYO
STN,HHN
STN,TSR
STN,SZZ
STN,BLL
STN,TLS
STN,RIX
STN,GDN
STN,KTW
STN,BIQ
STN,SVQ
STN,BCN
STN,BDS
STN,BZG
STN,MAD
STN,ORK
STN,LPA
STN,VST
STN,AAR
STN,KRK
STN,TGD
STN,TSF
STN,LUZ
STN,BGY
STN,NOC
STN,FUE
STN,TLL
STN,RZE
STN,SOF
STN,DUB
STN,LIG
STN,CIA
STN,XRY
STN,PMO
STN,WRO
STN,BRE
STN,SXF
STN,CPH
STN,MJV
STN,BOD
STN,TRS
STN,AGP
STN,EIN
STN,LIS
STN,ALC
STN,OSL
STN,GOT
STN,HAM
STN,VNO
STN,BTS
STN,LCJ
STN,CGN
STN,NAP
STN,BRQ
STN,AOI
STN,OPO
STN,ATH
STN,PMI
STN,TRN
STN,PDV
STN,LUX
STN,SUF
STN,PRG
STN,MXP
STN,LEJ
STN,NUE
STN,PSR
STN,BLQ
STN,WMI
STN,SNN
STN,SKG
STN,FRA
STN,TFS
STN,VLC
STN,ACE
SDR,CRL
SDR,RAK
SDR,CIA
SZZ,STN
SZZ,WAW
BLL,STN
BLL,SXF
BFS,WRO
BFS,ALC
BFS,MLA
BFS,TFS
BFS,ACE
TLS,STN
TLS,MAD
TLS,CRL
TLS,SXF
TLS,LIS
TLS,FRA
RIX,STN
RIX,BGY
RIX,DUB
RIX,SXF
LTN,KIR
LTN,FNI
LTN,RAK
LTN,NOC
LTN,RZE
LTN,DUB
LTN,CPH
LTN,MLA
LTN,VNO
LTN,KUN
GDN,NYO
GDN,STN
GDN,BRS
GDN,TLV
GDN,DUB
GDN,TRF
GDN,VXO
AGA,CRL
GOA,BRI
VGO,BCN
KTW,STN
EDI,BUD
EDI,BCN
EDI,CRL
EDI,KRK
EDI,TSF
EDI,BGY
EDI,DUB
EDI,CIA
EDI,EIN
EDI,TFS
EDI,ACE
SXB,OPO
IBZ,BCN
IBZ,MAD
IBZ,VLC
TFN,BCN
TFN,MAD
PDL,LIS
PDL,OPO
INI,BTS
BIQ,STN
SVQ,STN
SVQ,BRI
SVQ,BCN
SVQ,BGY
SVQ,CIA
SVQ,SCQ
SVQ,EIN
SVQ,FMM
SVQ,BVA
SVQ,PMI
SVQ,MAN
SVQ,VLC
BRI,GOA
BRI,SVQ
BRI,TSF
BRI,BGY
BRI,PSA
BRI,SXF
BRI,BVA
BRI,FCO
BRI,TRN
BRI,NUE
BRI,BLQ
BCN,FEZ
BCN,BUD
BCN,STN
BCN,VGO
BCN,EDI
BCN,IBZ
BCN,TFN
BCN,SVQ
BCN,CRL
BCN,LPA
BCN,BGY
BCN,FUE
BCN,DUB
BCN,XRY
BCN,SCQ
BCN,SXF
BCN,AGP
BCN,HAM
BCN,BHX
BCN,CGN
BCN,VCE
BCN,OPO
BCN,PMI
BCN,FCO
BCN,TRN
BCN,VLL
BCN,LUX
BCN,BRU
BCN,BLQ
BCN,WMI
BCN,LPL
BCN,FRA
BRS,POZ
BRS,GDN
BRS,KRK
