"Dalvik/5.0 (Android 3.0; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 3.1; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 3.1; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 3.2.6; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 3.2.6; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 3.2; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 3.2; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 4.0.4; Mobile; rv:55.0) Gecko/55.0 Firefox/55.0"
"Dalvik/5.0 (Android 4.0.4; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 4.0.4; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 4.0; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 4.0; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 4.1; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 4.1; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 4.2.2; Mobile; rv:52.0) Gecko/52.0 Firefox/52.0"
"Dalvik/5.0 (Android 4.2.2; Tablet; rv:54.0) Gecko/54.0 Firefox/54.0"
"Dalvik/5.0 (Android 4.2; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 4.2; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
"Dalvik/5.0 (Android 4.3.1; Tablet; rv:50.0) Gecko/50.0 Firefox/50.0"
"Dalvik/5.0 (Android 4.3.1; Tablet; rv:60.0) Gecko/60.0 Firefox/60.0"
